customer_id,first_name,last_name,email,phone,date_of_birth,signup_date,city,state,zip_code,loyalty_tier,total_spend,num_orders,last_order_date,newsletter_opt_in,preferred_contact,notes
CUST-1000,Joshua,Davis,joshua.davis@yahoo.com,(892) 958-9935,1957-10-19,2021-04-24,Cincinnati,OH,65302,Bronze,158.69,14,2022-08-27,True,mail,
CUST-1001,Richard,Rivera,richard.rivera58@gmail.com,(977) 363-7924,2045-06-15,2019-07-24,Columbia,MO,30379,Silver,4786.49,22,2022-04-15,True,phone,
CUST-1002,Michael,Thompson,michael_thompson6@yahoo.com,(587) 280-5803,2005-06-28,2022-12-19,Newport News,VA,57400,Silver,3525.81,3,2023-11-09,True,phone,
CUST-1003,Jennifer,,jennifer_anderson59@hotmail.com,372-703-1025,1973-12-14,2021-12-08,Yonkers,NY,99593,Bronze,3049.56,11,2023-07-01,True,email,
CUST-1004,Sandra,Harris,sandra.harris88@gmail.com,(434) 232-6168,1985-12-28,2019-07-03,Winston-Salem,NC,123-45,Silver,4566.55,37,2024-01-06,False,email,
CUST-1005,Michelle,Young,michelle.young@@outlook.com,(962) 774-9830,1973-07-28,2022-03-10,Vancouver,WA,86622,Platinum,4490.14,26,2023-01-06,True,email,
CUST-1006,Steven,Young,steven.young@comcast.net,(810) 265-7304,1984-03-27,2021-05-05,Houston,TX,71348,Gold,4855.68,1,2023-11-28,True,mail,
CUST-1007,Paul,Carter,james_harris55@hotmail.com,(664) 203-5315,1994-11-29,2022-04-10,Greensboro,NC,33416,Bronze,4353.89,20,2023-10-17,True,email,
CUST-1008,Nancy,Carter,nancycarter1@live.com,(219) 314-6947,2045-06-15,2019-05-06,Rockford,IL,17592,Silver,4391.27,6,2022-03-29,False,email,
CUST-1009,Timothy,Wright,timothywright@icloud.com,(740) 821-7932,1969-01-01,2023-03-18,Miami,FL,80686,Silver,3567.62,26,2023-11-19,False,phone,
CUST-1010,Dorothy,Lewis,dorothy.lewis9@gmail.com,(802) 767-4770,2002-10-17,2019-03-28,Buffalo,NY,10942,Bronze,3542.13,4,2022-08-23,True,email,
CUST-1011,Lisa,Jones,lisa_jones86@outlook.com,(752) 335-8744,1971-10-20,2022-05-26,Fort Wayne,IN,71993,Platinum,-999.99,7,2023-11-06,False,phone,
CUST-1012,Margaret,Clark,margaretclark@gmail.com,(612) 945-6559,1959-10-21,2019-05-25,Boston,MA,35112,Silver,2686.07,9,2023-03-09,True,phone,
CUST-1013,Sandra,Thomas,sandrathomas@gmail.com,(295) 971-4872,1964-12-02,2020-04-12,San Antonio,TX,73653,Platinum,1076.6,26,2022-03-02,True,phone,
CUST-1014,James,Harris,james_harris55@hotmail.com,(394) 503-4566,1955-04-01,2021-04-01,Durham,NC,81066,Bronze,3742.4,4,2022-02-21,False,mail,
CUST-1015,Dorothy,Hernandez,dorothy.hernandez@yahoo.com,(891) 440-7615,1960-10-03,2023-04-13,Fresno,CA,84668,Silver,2898.81,3,2023-09-27,True,phone,
CUST-1016,Kevin,Nguyen,kevin_nguyen@aol.com,(444) 471-7484,1961-09-28,2021-10-07,Bowie,MD,94607,Gold,2291.55,49,2022-03-16,True,phone,
CUST-1017,  Donna ,Torres,donnatorres28@hotmail.com,(557) 270-5002,1983-02-25,2019-08-07,New York,NY,30676,Platinum,4170.39,46,2022-11-06,True,mail,
CUST-1018,Kimberly,Martin,kimberly_martin@hotmail.com,(478) 488-4450,1980-10-05,2019-02-21,Buffalo,NY,93130,Gold,2531.99,17,2022-02-22,True,mail,
CUST-1019,Margaret,Moore,margaret_moore@icloud.com,(365) 959-8239,1999-06-30,2021-12-16,Los Angeles,CA,66057,Bronze,568.25,45,2022-06-02,True,phone,
CUST-1020,Emily,Scott,emily.scott6@aol.com,(240) 566-4441,1972-05-21,2021-09-27,Orlando,FL,23473,Gold,3902.78,27,2023-09-28,True,email,
CUST-1021,David,Lopez,david.lopez95@comcast.net,(885) 952-5065,1973-12-08,2018-11-23,Phoenix,AZ,24168,Platinum,4362.11,31,2022-08-16,True,phone,
CUST-1022,Daniel,Martin,susan.perez@yahoo.com,(536) 485-2137,1975-01-16,2019-12-21,Augusta,GA,94080,Platinum,3400.8,35,2022-12-06,True,email,
CUST-1023,Thomas,Lopez,thomas.lopez14@aol.com,(946) 521-8149,2004-05-21,2020-11-13,Rockville,MD,25157,Platinum,4498.53,13,2022-09-18,True,mail,
CUST-1024,Margaret,Smith,,(641) 271-6409,2005-11-27,2019-10-05,Carmel,IN,96951,Bronze,3601.57,20,2023-06-04,False,mail,
CUST-1025,Anthony,Lee,anthonylee@comcast.net,(880) 588-3851,2005-03-22,2021-03-11,Tacoma,WA,49446,Platinum,2744.21,1,2022-11-08,False,email,
CUST-1483,Margaret,Nguyen,margaret_nguyen57@outlook.com,(723) 684-3780,1957-08-10,2019-08-05,Green Bay,WI,77561,SILVER,476.0,49,2022-08-29,False,email,
CUST-1027,Richard,Martinez,richard.martinez@live.com,(624) 844-4185,1984-06-13,2020-10-09,Columbus,OH,62383,Silver,746.38,45,2022-01-06,True,phone,
CUST-1028,,,,,,,,,,,,,,,,
CUST-1029,Mark,Hernandez,mark_hernandez@icloud.com,(984) 996-9540,1993-06-23,2021-07-07,Chattanooga,TN,41358,Gold,2204.96,46,2022-10-20,True,phone,
CUST-1030,Lisa,Lee,lisa.lee@comcast.net,(910) 356-4505,1955-10-06,2020-04-29,Kansas City,MO,63424,gold ,2717.63,27,2022-03-05,True,phone,
CUST-1031,Matthew,Roberts,matthewroberts49@gmail.com,(560) 505-7389,1987-08-05,2021-01-07,Baltimore,MD,81582,Silver,2446.27,18,2023-03-23,False,email,
CUST-1032,Matthew,Perez,susan.rodriguez@live.com,(806) 777-1444,1957-07-13,2021-08-09,Spokane,WA,66179,Silver,4335.59,12,2022-02-21,False,phone,
CUST-1033,Christopher,Wilson,christopher_wilson98@icloud.com,(970) 631-5133,1957-05-07,2020-08-21,Springfield,MA,12540,Bronze,4999.54,23,2022-08-18,True,mail,
CUST-1034,John,Carter,,(329) 684-2874,2000-08-06,2023-04-26,Cleveland,OH,38569,Platinum,3500.33,50,2023-01-13,True,mail,
CUST-1035,Kenneth,Mitchell,kenneth_mitchell@icloud.com,555-1234,1985-08-02,2023-04-13,Buffalo,NY,35995,Bronze,2964.57,41,2022-09-06,True,mail,
CUST-1036,Deborah,Martin,deborahmartin6@comcast.net,(877) 579-2129,1995-05-24,2021-08-19,Milwaukee,WI,54725,Bronze,4249.38,32,2022-04-19,False,phone,
CUST-1037,Joshua,Robinson,not_an_email,(676) 646-5397,1978-12-01,2022-10-11,Orlando,FL,42177,Bronze,1401.85,29,2022-09-07,False,mail,
CUST-1038,Donna,Nelson,donna.nelson64@hotmail.com,(699) 417-6813,1973-03-06,2019-11-29,Tacoma,WA,46655,Gold,2783.4,34,2022-07-15,True,email,
CUST-1039,George,Clark,,(658) 217-2524,1976-05-25,2019-03-30,Clarksville,TN,63005,Silver,1537.97,38,2023-01-13,False,mail,
CUST-1040,Dorothy,Thompson,dorothy_thompson46@icloud.com,(513) 457-4777,1960-10-28,2022-01-17,Glendale,AZ,35242,Gold,606.58,35,2024-02-20,True,email,
CUST-1041,Susan,Mitchell,susanmitchell76@yahoo.com,(398) 503-4727,1982-05-18,2019-01-03,Knoxville,TN,49618,Bronze,3543.01,9,2022-10-08,True,email,
CUST-1042,Kimberly,Jackson,  kimberly.jackson2@live.com,(690) 651-6582,1966-07-17,2023-06-01,Orlando,FL,16734,Gold,4705.91,31,2022-04-27,True,phone,
CUST-1043,Ashley,Jones,ashley.jones20@yahoo.com,(454) 321-7818,2004-05-24,2021-05-05,Baltimore,MD,91057,Silver,3880.71,25,2023-04-07,False,phone,
CUST-1044,Emily,Ramirez,emilyramirez@outlook.com,(840) 416-5335,1957-04-14,2018-11-18,Ann Arbor,ca.,41439,Silver,2764.44,11,2022-01-03,False,phone,
CUST-1045,Brian,Hill,brian.hill30@icloud.com,(919) 664-2166,1970-12-10,2023-03-08,Knoxville,il,44675,Silver,2131.44,35,2022-08-19,True,phone,
CUST-1046,Barbara,Jones,deborah.scott@yahoo.com,(327) 679-5982,2045-06-15,2023-04-15,San Francisco,CA,45683,Platinum,2194.42,39,2022-02-10,False,mail,
CUST-1047,Christopher,Hill,christopher.hill@icloud.com,(790) 241-3870,1992-03-18,2020-11-28,Charlotte,NC,95394,Platinum,4581.2,12,2023-08-23,False,mail,
CUST-1048,Ashley,Garcia,ashley_garcia43@yahoo.com,(364) 537-7744,1994-06-14,2019-08-14,Knoxville,TN,96846,Platinum,4069.69,36,2022-02-07,False,email,
CUST-1049,,,,,,,,,,,,,,,,
CUST-1050,Kimberly,Rodriguez,kimberlyrodriguez@gmail.com,(845) 823-4920,1964-03-17,2019-09-29,Sterling Heights,MI,82199,Bronze,2765.73,6,2022-08-19,True,phone,
CUST-1051,Linda,Adams,lindaadams38@comcast.net,(694) 683-4993,1990-12-24,2021-02-02,Orlando,FL,28958,Platinum,961.15,39,2023-06-05,True,email,
CUST-1052,Sarah,Roberts,sarahroberts@icloud.com,(943) 505-9022,1963-05-02,2020-07-03,Mesa,AZ,80592,Platinum,1732.17,36,2024-02-21,1,phone,
CUST-1053,Christopher,Gonzalez,,(525) 962-8749,1984-03-15,2020-03-01,Savannah,GA,96991,Silver,2481.69,3,2022-05-10,False,email,
CUST-1054,Mark,Miller,mark.miller@comcast.net,(870) 358-2225,1992-02-14,2022-05-20,South Bend,IN,999999,Gold,3120.06,26,2023-10-28,True,phone,
CUST-1055,Carol,Wright,carolwright92@gmail.com,(832) 270-4846,1975-10-13,2019-04-11,Tacoma,WA,21846,Platinum,4891.91,49,2023-10-11,True,phone,
CUST-1056,David,Hall,david.hall@icloud.com,(567) 583-8056,1963-01-23,2019-05-16,Detroit,MI,79621,Platinum,2833.98,12,2022-06-24,True,email,
CUST-1057,Donna,Harris,donna_harris@outlook.com,(672) 853-5161,1991-03-26,2019-06-07,Madison,WI,97404,Bronze,4495.55,30,2022-10-22,True,email,
